country,2019
Afghanistan,64.1
Albania,78.5
Algeria,78.1
Andorra,
Angola,65
Antigua and Barbuda,77.3
Argentina,77
Armenia,75.9
Australia,82.7
Austria,82
Azerbaijan,71.1
Bahamas,74.1
Bahrain,79.8
Bangladesh,73.7
Barbados,77.3
Belarus,74.5
Belgium,81.7
Belize,74.4
Benin,65.3
Bhutan,74.7
Bolivia,73.3
Bosnia and Herzegovina,77
Botswana,69.8
Brazil,75.9
Brunei,75.6
Bulgaria,75.1
Burkina Faso,62.5
Burundi,62.3
Cambodia,70.4
Cameroon,63.8
Canada,82.2
Cape Verde,76.2
Central African Republic,52.9
Chad,60.6
Chile,80
China,77.5
Colombia,80.5
Comoros,69.1
"Congo, Dem. Rep.",63
"Congo, Rep.",63.3
Costa Rica,79.8
Cote d'Ivoire,63.3
Croatia,78.8
Cuba,78.5
Cyprus,82
Czech Republic,79.5
Denmark,81
Djibouti,68.6
Dominica,
Dominican Republic,73.5
Ecuador,77.2
Egypt,71
El Salvador,74.5
Equatorial Guinea,66.3
Eritrea,63.4
Estonia,78.5
Eswatini,61.8
Ethiopia,69.1
Fiji,68.3
Finland,81.8
France,83.1
Gabon,69
Gambia,66.4
Georgia,73.2
Germany,80.9
Ghana,66.1
Greece,81.3
Grenada,74.1
Guatemala,73.1
Guinea,61.6
Guinea-Bissau,60.7
Guyana,69.5
Haiti,65.7
Honduras,74.3
Hungary,77.2
Iceland,83
India,69.5
Indonesia,71.9
Iran,77.8
Iraq,77.1
Ireland,82.3
Israel,83.3
Italy,83.5
Jamaica,74.9
Japan,84.5
Jordan,79.6
Kazakhstan,72.8
Kenya,66.7
Kiribati,62.9
Kuwait,83.3
Kyrgyz Republic,73
Lao,68.2
Latvia,75.4
Lebanon,78.1
Lesotho,56.1
Liberia,65.2
Libya,73.3
Lithuania,75.4
Luxembourg,82
Madagascar,64.2
Malawi,64.2
Malaysia,75
Maldives,82.1
Mali,62.9
Malta,81.3
Marshall Islands,
Mauritania,71
Mauritius,75
Mexico,75.6
"Micronesia, Fed. Sts.",67.5
Moldova,73.1
Mongolia,69.3
Montenegro,76.7
Morocco,74.4
Mozambique,59.9
Myanmar,69.1
Namibia,67.2
Nepal,71.5
Netherlands,81.8
New Zealand,81.9
Nicaragua,79.2
Niger,63.2
Nigeria,65.2
North Korea,72.4
North Macedonia,76.8
Norway,82.6
Oman,77.6
Pakistan,67.2
Palestine,77.2
Panama,79.7
Papua New Guinea,58.9
Paraguay,76.4
Peru,80.8
Philippines,70
Poland,78.4
Portugal,81.8
Qatar,80.5
Romania,75.4
Russia,72.5
Rwanda,69.1
Samoa,73.2
Sao Tome and Principe,67.3
Saudi Arabia,77.1
Senegal,68.6
Serbia,76
Seychelles,73.8
Sierra Leone,61.3
Singapore,85.1
Slovak Republic,77.7
Slovenia,81.4
Solomon Islands,68.9
Somalia,59.2
South Africa,66.9
South Korea,83
South Sudan,59.7
Spain,83.3
Sri Lanka,77.8
St. Lucia,75.8
St. Vincent and the Grenadines,72.5
Sudan,70.8
Suriname,72.3
Sweden,82.8
Switzerland,84.3
Syria,71.5
Tajikistan,70.8
Tanzania,67.7
Thailand,78.6
Timor-Leste,71.3
Togo,65
Tonga,72
Trinidad and Tobago,74.5
Tunisia,78.7
Turkey,79.5
Turkmenistan,70.3
Uganda,66.6
Ukraine,70.8
United Arab Emirates,73.6
United Kingdom,81.1
United States,78.6
Uruguay,77.3
Uzbekistan,70.7
Vanuatu,65
Venezuela,75.1
Vietnam,74.7
Yemen,68.1
Zambia,64
Zimbabwe,62
