Industry,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mining and quarrying,356,696,586.5,458,574.5,133.5,286.5,31,30.5,37,39.5
Manufacturing,254349,153554.5,161457,146542.5,149182.5,151334,142358.5,146831,146951.5,139020,135828.5
"Electricity, gas, steam, and water supply",10946.5,9927,10802.5,11033.5,9443.5,9876.5,8154,5265,6417,5635,5480
"Sewage, waste management, materials recovery, and Environmental remediation",5265.5,5212,5504,5320.5,5858,5730.5,5669,6016,5855,5795,5996
Construction,221880,214937,188748,211201,311295.5,319507,280712.5,246988.5,314347,312588,331506.5
Wholesale and retail trade,319841.5,362951.5,376057,383146,384236.5,379479.5,396298,417772,454084.5,447458,441635
Transportation,130015,128548,160839.5,163898,160573.5,153813.5,150193.5,149313.5,172801,167268.5,165932.5
Accommodation and food service activities,95658,103783.5,104040.5,101826.5,111020.5,114145.5,112610,127496.5,136730.5,133533,127387
"Publication, video, Broadcasting and Telecommunication and Information Service Business",228314,238119,235441.5,259439,277518,288528.5,278650,286477,309796.5,301697.5,303382
Financial and insurance activities,185468,185310,201908,219390,220211,219366,210567,206737,222068,216185.5,208663.5
"Real estate, rental and leasing  activities",86083.5,83580.5,87359.5,83315.5,101360.5,86268.5,83946,92945.5,98963,105588.5,104175.5
"Professional, scientific and technical activities",178611,261412,310248,312124.5,339749.5,336943.5,344319,363500.5,379340.5,364942,372896.5
Business facilities management and business support services,260678,288173.5,261062.5,313948,299787,352022,353968.5,328862,414281,430312.5,447929
Education,140233.5,140720.5,144807,144819.5,150662.5,254041.5,230088.5,233351.5,220712.5,210278,212493.5
Human health and social work activities,125813.5,137271.5,152680,166925.5,182243,199259.5,213793,222368,241391.5,251909,265229
"Arts, sports and recreation related services",21808.5,19519,24510.5,25181,29231.5,31229,27849,30306,30408,32008,32763.5
"Membership organizations, repair and other personal services ",64884,64951.5,65471,70363,78223,81440,86965,90173.5,93427.5,88984.5,85820
